rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team,Game ID,end_of_rally,Score_TeamA,Score_TeamB,Set_Number,score_margin,points_to_win_A,points_to_win_B,prev_set_location,streak_A,streak_B,pass_quality,from_service_or_attack,set_loc
41,1,2,4,3,6,16,3,0,0,oppo,hit,1,2,no,jump,hit_error,hit_error,a,1,TRUE,24,17,1,7,1,8,1,4,0,2,1,3
160,2,1,12,12,13,26,3,0,0,outside,off_speed,2,2,no,,,,b,1,FALSE,14,8,4,6,11,17,2,0,1,3,0,1
31,1,1,3,3,13,13,4,1,1,quick,hit,1,2,no,jump,,,b,1,FALSE,17,13,1,4,8,12,3,0,1,3,1,2
34,7,1,3,3,8,14,4,1,1,outside,hit,1,2,no,,kill,kill,a,1,TRUE,19,15,1,4,6,10,3,1,0,2,0,1
64,4,2,7,7,1,14,4,0,0,outside,hit,1,3,yes,,,,a,1,FALSE,8,12,2,-4,17,13,3,0,1,1,0,1
1,4,1,13,13,13,15,4,1,1,outside,hit,1,1,no,,,,a,1,FALSE,0,0,1,0,25,25,1,0,0,3,0,1
141,1,2,3,3,14,15,4,1,1,outside,hit,1,2,no,jump,,,a,1,FALSE,3,0,4,3,22,25,1,4,0,3,1,1
1,5,2,9,9,3,15,4,0,0,outside,hit,1,3,yes,,,,a,1,FALSE,0,0,1,0,25,25,1,0,0,1,0,1
18,1,1,4,5,13,15,4,0,0,outside,hit,1,2,no,jump,kill,kill,a,1,TRUE,9,9,1,0,16,16,0,1,0,3,1,1
21,1,2,2,2,7,15,4,0,0,outside,hit,1,2,no,jump,,,b,1,FALSE,11,9,1,2,14,16,1,3,0,2,1,1
42,1,2,2,3,19,8,5,0,0,bic,hit,1,2,no,jump,kill,kill,b,1,TRUE,24,18,1,6,1,7,3,0,1,1,1,4
55,3,1,9,9,13,11,5,1,1,oppo,hit,1,2,no,,net,net,a,1,TRUE,5,7,2,-2,20,18,1,1,0,3,0,3
139,4,1,8,3,13,11,5,1,1,oppo,hit,1,2,no,,kill,kill,a,1,TRUE,2,0,4,2,23,25,4,3,0,3,0,3
1,6,1,4,4,3,12,5,1,1,bic,hit,1,2,yes,,,,a,1,FALSE,0,0,1,0,25,25,1,0,0,1,0,4
49,1,1,7,7,12,13,5,1,1,quick,hit,1,2,yes,float,,,a,1,FALSE,2,3,2,-1,23,22,0,0,3,3,1,2
53,1,1,3,3,13,13,5,1,1,quick,hit,1,1,no,jump,kill,kill,a,1,TRUE,4,6,2,-2,21,19,1,1,0,3,1,2
80,1,2,3,4,17,13,5,0,0,outside,hit,1,3,no,jump,kill,kill,b,1,TRUE,18,19,2,-1,7,6,0,0,1,1,1,1
94,1,2,3,3,13,14,5,1,1,bic,hit,1,2,no,jump,kill,kill,b,1,TRUE,2,2,3,0,23,23,2,0,1,3,1,4
52,1,1,3,3,12,15,5,1,1,outside,blocked,0,2,yes,jump,blocked,blocked,b,1,TRUE,3,6,2,-3,22,19,3,0,3,3,1,1
8,1,1,3,3,12,15,5,1,1,outside,hit,1,2,no,jump,kill,kill,a,1,TRUE,5,3,1,2,20,22,1,1,0,3,1,1
14,1,2,6,7,12,15,5,1,1,outside,hit,1,2,yes,jump,,,b,1,FALSE,7,6,1,1,18,19,0,1,0,3,1,1
55,2,2,4,4,13,15,5,1,1,outside,hit,1,2,no,,,,a,1,FALSE,4,7,2,-3,21,18,1,0,1,3,0,1
132,2,2,7,7,17,8,6,0,0,bic,overpass,0,0,no,,,,a,1,FALSE,21,20,3,1,4,5,4,0,1,1,0,4
31,3,1,3,3,9,11,6,1,1,oppo,hit,1,2,no,,,,b,1,FALSE,17,13,1,4,8,12,2,0,1,2,0,3
118,2,1,3,3,10,11,6,0,0,oppo,off_speed,2,2,yes,,,,a,1,FALSE,15,12,3,3,10,13,2,2,0,2,0,3
14,2,1,9,9,23,13,6,0,0,oppo,free_ball,5,0,no,,,,b,1,FALSE,7,6,1,1,18,19,1,1,0,1,0,3
143,1,2,4,4,13,13,6,1,1,quick,hit,1,1,no,jump,kill,kill,b,1,TRUE,5,1,4,4,20,24,0,0,1,3,1,2
68,1,1,3,3,13,13,6,1,1,bic,hit,1,0,no,jump,,,b,1,FALSE,11,13,2,-2,14,12,2,0,1,3,1,4
5,1,1,7,8,13,14,6,1,1,quick,hit,1,2,no,float,kill,kill,a,1,TRUE,3,2,1,1,22,23,0,1,0,3,1,2
77,1,2,3,3,13,14,6,1,1,quick,hit,1,2,yes,jump,,,a,1,FALSE,16,17,2,-1,9,8,1,3,0,3,1,2
90,1,2,3,3,13,14,6,1,1,quick,off_speed,2,2,no,jump,,,a,1,FALSE,24,22,2,2,1,3,1,1,0,3,1,2
147,1,2,3,3,13,14,6,1,1,quick,off_speed,2,2,no,jump,,,b,1,FALSE,8,1,4,7,17,24,2,3,0,3,1,2
108,2,2,25,10,14,15,6,1,1,outside,blocked,0,2,yes,,kill,kill,a,1,TRUE,10,8,3,2,15,17,2,1,0,3,0,1
27,2,1,6,19,11,15,6,1,1,outside,hit,1,2,no,,,,a,1,FALSE,14,12,1,2,11,13,1,1,0,2,0,1
102,1,2,4,4,12,15,6,1,1,outside,hit,1,1,no,jump,,,a,1,FALSE,6,5,3,1,19,20,3,3,0,3,1,1
142,1,1,7,7,13,15,6,1,1,outside,hit,1,2,no,float,,,a,1,FALSE,4,0,4,4,21,25,2,5,0,3,1,1
156,1,2,3,3,12,15,6,1,1,outside,hit,1,2,no,jump,kill,kill,b,1,TRUE,12,7,4,5,13,18,0,0,1,3,1,1
174,1,2,2,3,13,15,6,1,1,outside,hit,1,2,no,jump,,,b,1,FALSE,21,15,4,6,4,10,3,1,0,3,1,1
34,3,1,3,8,7,15,6,1,1,outside,off_speed,2,2,no,,,,a,1,FALSE,18,15,1,3,7,10,1,0,1,2,0,1
173,1,1,4,3,13,15,6,1,1,outside,off_speed,2,2,no,jump,,,a,1,FALSE,20,15,4,5,5,10,4,0,1,3,1,1
75,2,1,8,8,23,15,6,0,0,outside,off_speed,2,3,no,,,,a,1,FALSE,14,17,2,-3,11,8,3,1,0,1,0,1
174,3,2,8,13,12,15,6,1,1,outside,roll_shot,3,2,no,,,,b,1,FALSE,21,15,4,6,4,10,0,1,0,3,0,1
34,4,2,6,6,13,15,6,0,0,outside,roll_shot,3,2,no,,,,a,1,FALSE,18,15,1,3,7,10,1,0,1,3,0,1
88,2,2,11,11,8,6,7,0,0,oppo,hit,1,2,no,,,,b,1,FALSE,23,21,2,2,2,4,2,2,0,2,0,3
64,7,1,15,15,10,7,7,0,0,oppo,off_speed,2,2,yes,,,,a,1,FALSE,8,12,2,-4,17,13,1,0,1,2,0,3
164,3,1,8,8,11,8,7,0,0,bic,overpass,0,0,no,,,,b,1,FALSE,16,10,4,6,9,15,2,0,1,2,0,4
177,2,1,3,3,11,11,7,1,1,quick,hit,1,2,no,,kill,kill,a,1,TRUE,24,16,4,8,1,9,2,3,0,2,0,2
64,3,1,3,3,8,11,7,0,0,oppo,hit,1,2,no,,,,a,1,FALSE,8,12,2,-4,17,13,1,0,1,2,0,3
174,4,1,6,6,3,11,7,0,0,oppo,off_speed,2,2,yes,,,,b,1,FALSE,21,15,4,6,4,10,1,1,0,1,0,3
78,1,2,3,3,11,12,7,1,1,bic,hit,1,2,no,jump,,,b,1,FALSE,17,17,2,0,8,8,1,4,0,2,1,4
93,1,1,4,4,13,13,7,1,1,quick,hit,1,2,no,jump,kill,kill,a,1,TRUE,2,1,3,1,23,24,0,1,0,3,1,2
132,1,1,7,2,13,13,7,1,1,bic,hit,1,2,no,jump,,,a,1,FALSE,21,20,3,1,4,5,5,0,1,3,1,4
171,1,1,4,4,13,13,7,1,1,bic,hit,1,2,no,jump,,,a,1,FALSE,19,14,4,5,6,11,4,0,1,3,1,4
1,1,2,4,4,13,13,7,1,1,quick,off_speed,2,2,no,jump,,,a,1,FALSE,0,0,1,0,25,25,0,0,0,3,1,2
54,1,2,8,3,12,14,7,1,1,quick,hit,1,2,no,float,kill,kill,b,1,TRUE,4,7,2,-3,21,18,2,0,1,3,1,2
56,1,2,8,7,13,14,7,1,1,quick,hit,1,2,no,jump,kill,kill,b,1,TRUE,5,8,2,-3,20,17,3,0,1,3,1,2
36,5,1,8,8,12,15,7,1,1,outside,hit,1,2,no,,kill,kill,a,1,TRUE,20,16,1,4,5,9,0,1,0,3,0,1
181,1,2,2,2,13,15,7,1,1,outside,hit,1,1,no,jump,,,b,1,FALSE,1,0,5,1,24,25,3,2,0,3,1,1
154,3,1,2,3,14,15,7,1,1,outside,off_speed,2,2,yes,,,,b,1,FALSE,11,5,4,6,14,20,1,0,1,3,0,1
88,4,2,11,11,8,15,7,0,0,outside,off_speed,2,2,no,,kill,kill,b,1,TRUE,23,22,2,1,2,3,1,0,1,2,0,1
85,2,2,13,13,9,6,8,0,0,oppo,hit,1,2,no,,,,b,1,FALSE,21,20,2,1,4,5,1,1,0,2,0,3
185,3,2,15,15,8,6,8,0,0,oppo,hit,1,2,no,,,,a,1,FALSE,3,2,5,1,22,23,3,1,0,2,0,3
153,3,1,13,13,8,11,8,0,0,oppo,blocked,0,3,yes,,,,b,1,FALSE,11,4,4,7,14,21,4,1,0,2,0,3
15,1,1,8,8,13,11,8,1,1,oppo,hit,1,1,yes,float,,,b,1,FALSE,7,7,1,0,18,18,2,0,1,3,1,3
75,1,2,4,3,12,11,8,1,1,oppo,hit,1,2,no,jump,,,a,1,FALSE,14,17,2,-3,11,8,0,1,0,3,1,3
164,2,2,8,8,12,12,8,1,1,quick,hit,1,2,no,,,,b,1,FALSE,16,10,4,6,9,15,2,0,1,3,0,2
167,1,2,9,8,12,12,8,1,1,quick,hit,1,1,no,float,kill,kill,b,1,TRUE,17,13,4,4,8,12,0,0,1,3,1,2
141,4,1,9,9,9,12,8,0,0,bic,roll_shot,3,3,no,,,,a,1,FALSE,3,0,4,3,22,25,1,4,0,2,0,4
164,1,1,2,2,12,13,8,1,1,quick,hit,1,1,yes,jump,,,b,1,FALSE,16,10,4,6,9,15,0,0,1,3,1,2
139,3,2,9,9,13,13,8,1,1,bic,hit,1,3,yes,,,,a,1,FALSE,1,0,4,1,24,25,3,2,0,3,0,4
139,1,2,4,4,13,13,8,1,1,quick,off_speed,2,2,no,jump,,,a,1,FALSE,1,0,4,1,24,25,0,2,0,3,1,2
61,1,2,4,4,14,14,8,1,1,quick,hit,1,2,no,jump,kill,kill,b,1,TRUE,7,11,2,-4,18,14,2,0,1,3,1,2
164,4,2,7,7,13,14,8,1,1,quick,hit,1,2,no,,kill,kill,b,1,TRUE,16,11,4,5,9,14,4,0,2,3,0,2
141,6,1,9,10,12,14,8,1,1,quick,off_speed,2,2,no,,kill,kill,a,1,TRUE,4,0,4,4,21,25,3,5,0,3,0,2
178,1,2,2,2,12,15,8,1,1,outside,blocked,0,2,yes,jump,,,b,1,FALSE,24,16,4,8,1,9,2,3,0,3,1,1
n,2,1,3,3,9,15,8,0,0,outside,blocked,0,2,yes,,,,a,1,FALSE,15,9,4,6,10,16,1,1,0,2,0,1
70,1,2,9,3,13,15,8,1,1,outside,hit,1,1,no,float,kill,kill,b,1,TRUE,12,15,2,-3,13,10,1,0,1,3,1,1
121,2,2,13,12,12,15,8,1,1,outside,off_speed,2,1,yes,,,,b,1,FALSE,16,14,3,2,9,11,3,0,2,3,0,1
174,5,2,7,7,3,15,8,0,0,outside,off_speed,2,3,no,,kill,kill,b,1,TRUE,21,16,4,5,4,9,3,0,1,1,0,1
1,7,2,10,10,3,15,8,0,0,outside,roll_shot,3,2,no,,,,a,1,FALSE,0,0,1,0,25,25,4,0,0,1,0,1
68,2,2,6,7,25,25,8,0,0,outside,off_speed,2,3,no,,,,b,1,FALSE,11,13,2,-2,14,12,4,0,1,1,0,1
178,2,2,8,13,12,25,8,0,0,outside,overpass,0,0,no,,,,b,1,FALSE,24,16,4,8,1,9,1,3,0,3,0,1
101,1,2,3,3,7,11,9,0,0,oppo,blocked,0,2,yes,jump,kill,kill,a,1,TRUE,6,5,3,1,19,20,1,3,0,2,1,3
121,3,1,8,4,7,11,9,0,0,oppo,blocked,0,2,yes,,,,b,1,FALSE,16,14,3,2,9,11,1,0,2,2,0,3
110,1,1,3,3,13,11,9,1,1,oppo,hit,1,2,no,jump,,,a,1,FALSE,10,9,3,1,15,16,2,0,1,3,1,3
139,2,1,8,7,3,11,9,0,0,oppo,roll_shot,3,2,yes,,,,a,1,FALSE,1,0,4,1,24,25,2,2,0,1,0,3
141,5,2,8,4,8,11,9,0,0,oppo,roll_shot,3,2,no,,,,a,1,FALSE,3,0,4,3,22,25,4,4,0,2,0,3
14,3,2,7,6,12,12,9,1,1,quick,hit,1,1,no,,kill,kill,b,1,TRUE,7,7,1,0,18,18,3,0,1,3,0,2
74,1,1,8,8,13,13,9,1,1,quick,hit,1,1,no,float,,,a,1,FALSE,13,17,2,-4,12,8,3,0,2,3,1,2
121,4,1,9,14,13,13,9,1,1,quick,hit,1,2,no,,,,b,1,FALSE,16,14,3,2,9,11,3,0,2,3,0,2
127,1,2,4,4,13,13,9,1,1,quick,hit,1,1,no,jump,kill,kill,b,1,TRUE,19,18,3,1,6,7,0,0,1,3,1,2
162,3,1,8,8,13,13,9,1,1,quick,hit,1,2,no,,,,a,1,FALSE,15,9,4,6,10,16,1,1,0,3,0,2
168,1,1,7,7,13,13,9,1,1,quick,off_speed,2,2,no,float,,,a,1,FALSE,17,13,4,4,8,12,2,0,1,3,1,2
33,1,2,6,7,13,15,9,1,1,outside,hit,1,2,no,jump,,,b,1,FALSE,18,14,1,4,7,11,4,1,0,3,1,1
45,3,1,13,13,13,15,9,1,1,outside,hit,1,2,no,,kill,kill,a,1,TRUE,2,0,2,2,23,25,1,3,0,3,0,1
57,1,1,8,8,14,15,9,1,1,outside,hit,1,2,no,float,kill,kill,a,1,TRUE,6,8,2,-2,19,17,2,1,0,3,1,1
76,1,2,4,4,13,15,9,1,1,outside,hit,1,2,no,jump,kill,kill,a,1,TRUE,16,17,2,-1,9,8,1,3,0,3,1,1
154,1,1,1,2,13,15,9,1,1,outside,hit,1,2,yes,jump,,,b,1,FALSE,11,5,4,6,14,20,1,0,1,3,1,1
179,1,1,3,3,13,15,9,1,1,outside,hit,1,1,no,jump,,,a,1,FALSE,24,17,4,7,1,8,3,0,1,3,1,1
141,3,2,12,12,8,15,9,0,0,outside,hit,1,3,no,,,,a,1,FALSE,3,0,4,3,22,25,0,4,0,2,0,1
131,1,2,10,10,15,15,9,0,0,d-ball,hit,1,2,no,float,kill,kill,b,1,TRUE,21,20,3,1,4,5,1,0,1,2,1,5
81,1,1,6,7,13,11,10,0,0,oppo,hit,1,2,no,float,,,a,1,FALSE,18,19,2,-1,7,6,1,0,1,3,1,3
150,1,1,7,7,12,11,10,0,0,oppo,hit,1,2,no,float,,,a,1,FALSE,9,3,4,6,16,22,0,0,1,3,1,3
155,1,1,6,2,12,11,10,0,0,oppo,tip,4,2,no,jump,,,a,1,FALSE,11,6,4,5,14,19,1,0,2,3,1,3
106,1,1,3,3,12,13,10,1,1,quick,hit,1,1,no,jump,kill,kill,a,1,TRUE,9,7,3,2,16,18,1,1,0,3,1,2
157,1,1,8,8,13,13,10,1,1,quick,hit,1,1,yes,hybrid,,,a,1,FALSE,12,7,4,5,13,18,1,0,1,3,1,2
158,4,1,12,12,13,13,10,0,0,quick,overpass,0,0,no,,,,a,1,FALSE,13,7,4,6,12,18,2,1,0,3,0,2
10,1,2,9,8,13,14,10,1,1,quick,hit,1,2,no,float,kill,kill,b,1,TRUE,6,4,1,2,19,21,1,0,1,3,1,2
24,1,1,7,7,13,14,10,1,1,quick,hit,1,2,no,float,kill,kill,a,1,TRUE,13,11,1,2,12,14,0,1,0,3,1,2
130,1,2,8,8,13,15,10,1,1,outside,blocked,0,2,yes,float,kill,kill,a,1,TRUE,21,19,3,2,4,6,0,2,0,3,1,1
35,1,2,2,3,12,15,10,1,1,outside,hit,1,2,no,jump,,,b,1,FALSE,19,15,1,4,6,10,1,1,0,3,1,1
69,1,1,3,3,12,15,10,1,1,outside,hit,1,1,no,jump,kill,kill,a,1,TRUE,12,14,2,-2,13,11,2,1,0,3,1,1
126,1,1,7,7,13,15,10,1,1,outside,hit,1,2,no,float,,,a,1,FALSE,18,17,3,1,7,8,1,0,1,3,1,1
140,1,2,3,3,14,15,10,1,1,outside,hit,1,2,yes,jump,,,a,1,FALSE,2,0,4,2,23,25,3,3,0,3,1,1
161,1,1,3,3,13,15,10,1,1,outside,hit,1,2,no,jump,kill,kill,a,1,TRUE,15,9,4,6,10,16,3,1,0,3,1,1
83,1,2,3,3,13,15,10,1,1,oppo,hit,1,2,yes,jump,,,b,1,FALSE,20,19,2,1,5,6,4,2,0,3,1,3
178,3,1,8,8,13,11,11,1,1,oppo,blocked,0,2,yes,,kill,kill,b,1,TRUE,24,17,4,7,1,8,1,0,1,3,0,3
103,1,2,3,3,6,11,11,0,0,oppo,blocked,0,2,yes,jump,kill,kill,a,1,TRUE,8,5,3,3,17,20,3,5,0,2,1,3
3,1,1,2,2,12,11,11,1,1,oppo,hit,1,2,yes,jump,,,a,1,FALSE,1,1,1,0,24,24,2,0,1,3,1,3
1,8,1,8,6,8,11,11,0,0,oppo,off_speed,2,3,no,,kill,kill,a,1,TRUE,1,0,1,1,24,25,1,1,0,2,0,3
88,1,2,3,3,13,12,11,1,1,quick,blocked,0,2,yes,jump,,,b,1,FALSE,23,21,2,2,2,4,1,2,0,3,1,2
84,1,1,7,3,12,13,11,1,1,quick,hit,1,2,yes,jump,tool,tool,a,1,TRUE,21,20,2,1,4,5,0,1,0,3,1,2
67,1,2,3,3,13,14,11,1,1,quick,roll_shot,3,2,no,jump,kill,kill,b,1,TRUE,11,13,2,-2,14,12,1,0,1,3,1,2
34,1,1,3,3,13,14,11,0,0,bic,tip,4,0,no,jump,,,a,1,FALSE,18,15,1,3,7,10,0,0,1,3,1,4
37,1,2,10,4,14,15,11,1,1,outside,blocked,0,2,yes,jump,,,b,1,FALSE,20,16,1,4,5,9,1,1,0,3,1,1
88,3,1,7,2,10,15,11,0,0,outside,roll_shot,3,2,yes,,,,b,1,FALSE,23,21,2,2,2,4,3,2,0,2,0,1
31,5,1,10,15,15,6,12,0,0,oppo,hit,1,1,no,,hit_error,hit_error,b,1,TRUE,17,14,1,3,8,11,2,0,2,2,0,3
28,1,2,10,9,12,11,12,1,1,d-ball,hit,1,2,yes,float,,,a,1,FALSE,15,12,1,3,10,13,5,2,0,3,1,5
16,1,1,8,8,13,14,12,1,1,quick,hit,1,2,yes,float,kill,kill,a,1,TRUE,8,8,1,0,17,17,5,1,0,3,1,2
